# Grouping of all relevant ligands found in the BioLiP database as of June 28, 2017
# The 4 nucleic acids entries ("NUCACID_") include: NUCDNA, NUCDNAB, NUCRNA, NUCRNAB
# The 2 DNA entries ("DNA_") include: NUCDNA, NUCDNAB
# The 2 RNA entries ("RNA_") include: NUCRNA, NUCRNAB
# All 204 ion entries ("ION_") were extracted from wwPDB's Chemical Component Dictionary (http://www.wwpdb.org/data/ccd),
#  accessed August 9, 2016
# All 8307 drug entries ("DRUGLIKE_") were identified by comparing ligand SMILES strings (Tanimoto coefficient > 0.9) 
#  to drug SMILES strings obtained from DrugBank (http://www.drugbank.ca/), accessed August 9, 2016
# All 1301 metabolite entries ("METABOLITE_") were identified by comparing ligand SMILES strings (Tanimoto coefficient > 0.9) 
#  to *endogenous metabolite* SMILES strings obtained from the Human Metabolome Database
#  (http://www.hmdb.ca/system/downloads/current/hmdb_metabolites.zip), accessed October 19, 2016
#group_name	original_ligand_mmCIF_identifier
METABOLITE_	0SG
METABOLITE_	0T9
METABOLITE_	0U
METABOLITE_	0U8
METABOLITE_	0UB
METABOLITE_	0V5
METABOLITE_	0WD
METABOLITE_	0XL
METABOLITE_	0XO
METABOLITE_	101
METABOLITE_	10C
METABOLITE_	11A
METABOLITE_	11C
METABOLITE_	11Z
METABOLITE_	12H
METABOLITE_	12L
METABOLITE_	13D
METABOLITE_	149
METABOLITE_	14U
METABOLITE_	152
METABOLITE_	15L
METABOLITE_	16B
METABOLITE_	16Y
METABOLITE_	17F
METABOLITE_	18D
METABOLITE_	18T
METABOLITE_	192
METABOLITE_	1AC
METABOLITE_	1CA
METABOLITE_	1CF
METABOLITE_	1EM
METABOLITE_	1GL
METABOLITE_	1GP
METABOLITE_	1HU
METABOLITE_	1JB
METABOLITE_	1LU
METABOLITE_	1NA
METABOLITE_	1PY
METABOLITE_	1QQ
METABOLITE_	1QW
METABOLITE_	1S0
METABOLITE_	1SC
METABOLITE_	1TL
METABOLITE_	1Y7
METABOLITE_	23B
METABOLITE_	24G
METABOLITE_	25A
METABOLITE_	25L
METABOLITE_	26A
METABOLITE_	289
METABOLITE_	28H
METABOLITE_	28J
METABOLITE_	293
METABOLITE_	2AD
METABOLITE_	2AM
METABOLITE_	2AS
METABOLITE_	2BA
METABOLITE_	2DC
METABOLITE_	2DG
METABOLITE_	2DR
METABOLITE_	2F8
METABOLITE_	2FP
METABOLITE_	2GS
METABOLITE_	2H3
METABOLITE_	2HG
METABOLITE_	2IP
METABOLITE_	2JN
METABOLITE_	2KT
METABOLITE_	2M4
METABOLITE_	2M6
METABOLITE_	2ML
METABOLITE_	2ND
METABOLITE_	2OA
METABOLITE_	2OB
METABOLITE_	2OG
METABOLITE_	2OP
METABOLITE_	2PG
METABOLITE_	2PI
METABOLITE_	2Q2
METABOLITE_	2RH
METABOLITE_	2RW
METABOLITE_	2SA
METABOLITE_	2UF
METABOLITE_	2WS
METABOLITE_	32O
METABOLITE_	34V
METABOLITE_	38J
METABOLITE_	38S
METABOLITE_	38T
METABOLITE_	39N
METABOLITE_	39Y
METABOLITE_	3A0
METABOLITE_	3AD
METABOLITE_	3AL
METABOLITE_	3AM
METABOLITE_	3AT
METABOLITE_	3BU
METABOLITE_	3BY
METABOLITE_	3CM
METABOLITE_	3D1
METABOLITE_	3DA
METABOLITE_	3DG
METABOLITE_	3DO
METABOLITE_	3DT
METABOLITE_	3EV
METABOLITE_	3G6
METABOLITE_	3GB
METABOLITE_	3GD
METABOLITE_	3HG
